date,action,company_name,symbol,source
1998-08-01,include,Nahar Poly Films Ltd.,,nse_incl_excl
1998-08-01,include,Nahar Spinning Mills Ltd.,,nse_incl_excl
1998-08-01,include,National Aluminium Co. Ltd. (Old),,nse_incl_excl
1998-08-01,include,National Peroxide Ltd.,,nse_incl_excl
1998-08-01,include,Navneet Education Ltd.,,nse_incl_excl
1998-08-01,include,Nestle India Ltd.,,nse_incl_excl
1998-08-01,include,Nirma Ltd.,,nse_incl_excl
1998-08-01,include,Novartis India Ltd.,,nse_incl_excl
1998-08-01,include,OTIS Elevator Company (India) Ltd.,,nse_incl_excl
1998-08-01,include,Oil Country Tubular Ltd.,,nse_incl_excl
1998-08-01,include,Orchid Chemicals & Pharmaceuticals Ltd.,,nse_incl_excl
1998-08-01,include,Orient Paper & Industries Ltd.,,nse_incl_excl
1998-08-01,include,Oriental Bank of Commerce,,nse_incl_excl
1998-08-01,include,Oriental Hotels Ltd.,,nse_incl_excl
1998-08-01,include,Orkay Industries Ltd.,,nse_incl_excl
1998-08-01,include,Oswal Agro Mills Ltd.,,nse_incl_excl
1998-08-01,include,Oswal Chemicals & Fertilizers Ltd.,,nse_incl_excl
1998-08-01,include,Oudh Sugar Mills Ltd.,,nse_incl_excl
1998-08-01,include,PHIL Corporation Ltd.,,nse_incl_excl
1998-08-01,include,Parekh Platinum Ltd.,,nse_incl_excl
1998-08-01,include,Parke-Davis (India) Ltd.,,nse_incl_excl
1998-08-01,include,Patheja Forgings & Auto Parts Manufacturers Ltd.,,nse_incl_excl
1998-08-01,include,Peacock Industries Ltd.-old,,nse_incl_excl
1998-08-01,include,Peninsula Land Ltd.,,nse_incl_excl
1998-08-01,include,Pentamedia Graphics Ltd.,,nse_incl_excl
1998-08-01,include,Pfizer Ltd.,,nse_incl_excl
1998-08-01,include,Philips India Ltd.,,nse_incl_excl
1998-08-01,include,Phillips Carbon Black Ltd.,,nse_incl_excl
1998-08-01,include,Phoenix International Ltd.,,nse_incl_excl
1998-08-01,include,Pidilite Industries Ltd.,,nse_incl_excl
1998-08-01,include,Piramal Enterprises Ltd.,,nse_incl_excl
1998-08-01,include,Piramal Holdings Ltd.-Delisted,,nse_incl_excl
1998-08-01,include,Prakash Industries Ltd.,,nse_incl_excl
1998-08-01,include,Precision Fasteners Ltd.,,nse_incl_excl
1998-08-01,include,Premier Ltd.,,nse_incl_excl
1998-08-01,include,Prime Securities Ltd.,,nse_incl_excl
1998-08-01,include,Procter & Gamble Hygiene & Health Care Ltd.,,nse_incl_excl
