company_name,effective_from,effective_to
Hotel Leela Venture Ltd.,2016-04-01,2016-09-30
I T C Bhadrachalam Paper Boards Ltd.,1998-08-01,2002-04-23
IBP Co. Ltd.,1998-08-01,2007-06-04
ICICI Ltd.,1998-08-01,2002-04-23
ICSA (India) Ltd.,2012-04-27,2012-09-28
IDBI Bank Ltd.-OLD,2000-09-03,2005-05-09
IDFC Ltd.,2006-02-03,2015-05-29
IDI Ltd.,1998-08-01,2001-04-25
IIFL Holdings Ltd.,2018-04-02,2018-12-28
IL&FS Engineering and Construction Company Ltd.,2011-05-18,2015-03-27
IL&FS Engineering and Construction Company Ltd.,2015-09-28,2016-04-01
ING Vysya Bank Ltd.,1999-02-03,2015-02-02
ISMT Ltd.,1998-08-01,2000-05-24
ITD Cementation India Ltd.,1998-08-01,2004-12-10
ITD Cementation India Ltd.,2015-03-24,2016-04-01
ITD Cementation India Ltd.,2016-09-30,2020-06-26
ITW Signode India Ltd.- Sus,1998-08-01,2002-04-23
IVRCL Ltd.,2002-09-19,2016-04-01
India Gypsum Ltd.,1998-08-01,2005-01-05
India Infoline Ltd.,2007-12-26,2017-06-23
India Securities Ltd.,1998-08-01,1999-05-26
Indiabulls Financial Services Ltd.,2005-02-18,2008-01-01
Indiabulls Financial Services Ltd.,2008-04-24,2013-03-19
Indiabulls Integrated Services Ltd.,2019-03-29,2020-06-26
Indiabulls Real Estate Ltd.,2007-09-10,2011-04-21
Indiabulls Real Estate Ltd.,2011-06-21,2011-12-07
Indiabulls Securities Ltd.,2009-08-14,2016-04-01
Indian Aluminium Co. Ltd.,1998-08-01,2003-12-11
Indian Metals & Ferro Alloys Ltd.,2013-04-01,2015-03-27
Indian Organic Chemicals Ltd.,1998-08-01,2001-12-07
Indian Petrochemicals Corporation Ltd.,1998-08-01,2007-10-05
Indo Gulf Corporation Ltd.,1998-08-01,2003-03-05
Indo Gulf Fertilisers Ltd.,2003-12-11,2006-04-10
Indo Rama Synthetics (India) Ltd. - Old,1998-08-01,2003-05-23
Industrial Oxygen Co. Ltd. -Sus,1998-08-01,1999-12-08
Infar (India) Ltd.,2002-03-29,2002-10-11
Infinite Computer Solutions (India) Ltd,2013-07-17,2014-09-19
Information Technologies India Ltd.,2002-03-29,2002-07-09
Innoventive Industries Ltd.,2012-09-28,2014-03-28
Inox Leisure Ltd.,2006-09-21,2012-04-27
Insilco Ltd. - Sus,1999-02-03,2002-09-19
International Paper APPM Ltd.,2016-04-01,2017-03-31
Ispat Alloys Ltd.,1998-08-01,2000-05-24
JBF Industries Ltd.,1998-08-01,2001-08-31
JBF Industries Ltd.,2012-09-28,2018-09-28
JCT Electronics Ltd.,1998-08-01,2001-10-11
JCT Ltd.,1998-08-01,2001-12-07
JD Orgochem Ltd.,1998-08-01,2000-09-03
JMT Auto Ltd.,2016-04-01,2017-09-29
JSW ISPAT Steel Ltd.,1998-08-01,2005-12-08
JSW ISPAT Steel Ltd.,2009-10-22,2013-06-11
Jagatjit Industries Ltd. -Sus,1998-08-01,2001-08-31
Jain Irrigation Systems Ltd. (Old),1998-08-01,2000-12-20
Jain Studios Ltd.,2000-09-20,2007-04-04
Jaiprakash Associates Ltd.,2004-12-10,2019-09-27
Jaiprakash Industries Ltd.- Suspended,1998-08-01,2004-03-22
Jaypee Infratech Ltd.,2010-09-17,2017-03-31
Jet Airways (India) Ltd.,2005-08-05,2013-09-27
Jet Airways (India) Ltd.,2016-04-01,2019-09-24
Jindal Iron & Steel Co. Ltd.,1998-08-01,2001-12-07
Jindal Iron & Steel Co. Ltd.,2003-04-25,2005-02-18
Jindal Strips Ltd.- Merged,1998-08-01,2003-09-09
Jubilant Life Sciences Ltd.,2002-04-23,2002-09-19
Jubilant Life Sciences Ltd.,2003-09-09,2010-11-25
K.S. Oils Ltd.,2009-03-27,2013-06-21
KDL Biotech Ltd.,2002-09-19,2006-03-02
KSB Pumps Ltd.,1998-08-01,2016-04-01
KSB Pumps Ltd.,2016-09-30,2017-03-31
KSK Energy Ventures Ltd,2011-10-10,2016-09-30
Karuturi Global Ltd.,2010-04-08,2014-03-28
Kemrock Industries and Exports Ltd.,2011-03-25,2013-09-27
