symbol,ex_date,source,factor,clean_ratio,err
JSWISPL,2018-09-14,bhavcopy-observed,1.572954,1.5714285714285714,0.001
JUBLPHARMA,2006-03-17,kite-observed,0.200005,0.2,0.0
JYOTISTRUC,2018-12-03,kite-observed,0.856522,0.8571428571428571,0.0007
KAJARIACER,2005-10-19,kite-observed,0.2,0.2,0.0
KIRLOSIND,2005-08-10,kite-observed,0.200003,0.2,0.0
KIRLOSIND,2007-10-25,kite-observed,0.500001,0.5,0.0
KOTAKBANK,2005-08-25,kite-observed,0.402594,0.4,0.0065
KOTHARIPRO,2008-12-03,kite-observed,0.722309,0.7272727272727273,0.0068
KPIL,2006-04-13,kite-observed,0.500012,0.5,0.0
KSL,2010-05-19,kite-observed,0.316324,,0.0281
KTKBANK,2005-01-13,kite-observed,0.404218,,0.0105
KTKBANK,2015-01-01,kite-observed,0.814778,0.8181818181818182,0.0042
LGBBROSLTD,2010-03-30,kite-observed,10.00044,10.0,0.0
LMW,2006-12-13,kite-observed,0.1,0.1,0.0
M&M,2005-09-01,kite-observed,0.499999,0.5,0.0
MANALIPETC,2006-12-06,kite-observed,0.666906,0.6666666666666666,0.0004
MANAPPURAM,2011-06-09,kite-observed,0.5,0.5,0.0
MASTEK,2006-03-27,kite-observed,0.500008,0.5,0.0
MASTEK,2015-01-01,kite-observed,0.342422,,0.0273
MFSL,2016-01-27,kite-observed,0.476328,0.47368421052631576,0.0056
MONNETISPA,2018-09-14,bhavcopy-observed,1.572954,1.5714285714285714,0.001
MOTHERSON,2005-02-24,kite-observed,0.667884,0.6666666666666666,0.0018
MPSLTD,2012-02-09,kite-observed,0.15047,,0.0533
MPSLTD,2012-06-04,kite-observed,0.464874,0.4666666666666667,0.0038
