symbol,ex_date,type,factor,note
DALMIASUG,2025-10-31,demerger,0.9935,ignored:<5%
DBREALTY,2025-07-18,demerger,0.84783,measured
DCB,2006-01-17,rights,,rights:no-price
DCBBANK,2006-01-17,rights,,rights:no-price
DCM,2019-05-30,demerger,0.50967,measured
DCMSRIND,2025-12-26,demerger,0.31668,measured
DEEPIND,2020-11-10,demerger,0.61467,measured
DELTACORP,2008-10-29,demerger,0.9902,ignored:<5%
DHAMPURSUG,2022-05-13,demerger,0.84134,measured
DRREDDY,2011-03-17,demerger,0.97202,ignored:<5%
EASTSILK,2024-11-22,demerger,,skipped:gap-530d
EDELWEISS,2023-06-02,demerger,0.55263,measured
ELGIRUBCO,2008-04-23,demerger,0.85086,measured
EMBDL,2011-04-21,demerger,0.93817,measured
EMBDL,2011-12-07,demerger,0.89897,measured
FEL,2010-09-17,demerger,1.06324,ignored:<5%
FEL,2013-04-17,demerger,0.90906,measured
FEL,2013-06-21,demerger,0.67075,measured
FEL,2016-05-11,demerger,0.12579,measured
FELDVR,2010-09-17,demerger,0.96735,ignored:<5%
FELDVR,2013-04-17,demerger,0.83163,measured
FELDVR,2013-06-21,demerger,0.80018,measured
FELDVR,2016-05-11,demerger,0.10413,measured
FRETAIL,2017-11-29,demerger,1.0129,ignored:<5%
FRL,2010-09-17,demerger,1.06324,ignored:<5%
FRL,2013-04-17,demerger,0.90906,measured
FRL,2013-06-21,demerger,0.67075,measured
FRL,2016-05-11,demerger,0.12579,measured
GABRIEL,2007-08-16,demerger,1.1501,ignored:<5%
GAYAPROJ,2018-01-30,demerger,0.96641,ignored:<5%
GENESYS,2007-10-12,demerger,0.78217,measured
GENESYS,2019-09-18,dividend,,dividend:unparsed-or-implausible
GENUSPOWER,2014-01-09,demerger,0.87151,measured
GENUSPOWER,2026-02-06,demerger,1.03348,ignored:<5%
GET&D,2011-12-14,demerger,0.76166,measured
GFLLIMITED,2019-08-06,demerger,0.10893,measured
GFLLIMITED,2021-03-26,demerger,0.74527,measured
GHCL,2023-04-06,demerger,0.95122,ignored:<5%
GKB,2008-02-15,demerger,0.8346,measured
GMRAIRPORT,2022-01-11,demerger,0.9257,measured
GMRINFRA,2022-01-11,demerger,0.9257,measured
GOKUL,2015-09-16,demerger,0.91787,measured
