symbol,max,kinds
UNITDSPR,3.3,demerger
UTIAMC,13.4,kite-recent-dividend
V2RETAIL,7.7,small-unexplained
VAKRANGEE,10.7,demerger
VALIANTORG,3.3,small-unexplained
VARDMNPOLY,16.6,no-filing|small-unexplained
VEDL,49.1,demerger|formula:dividend|kite-recent-dividend|small-unexplained
VESUVIUS,3.1,formula:dividend|small-unexplained
VHL,11.6,small-unexplained
VIKASWSP,4.8,small-unexplained
VINYLINDIA,6.8,kite-recent-dividend|small-unexplained
VIYASH,20.9,formula:split(obs)|small-unexplained
VSTIND,4.8,kite-recent-dividend
VTL,2.9,
WELSPUNLIV,7.6,small-unexplained
WIPRO,16.0,kite-recent-dividend|small-unexplained
ZEEL,41.3,formula:dividend|formula:split(obs)|kite-recent-dividend
ZEELEARN,24.1,small-unexplained
ZEEMEDIA,81.0,formula:split(obs)
ZENSARTECH,2.7,kite-recent-dividend
ZFCVINDIA,2.7,small-unexplained
ZUARIIND,4.8,small-unexplained
ZYDUSLIFE,5.4,small-unexplained
