symbol,effective_from,effective_to,note
PFIZER,1900-01-01,,
PGEL,1900-01-01,,
PGHH,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
PHOENIXLTD,1900-01-01,,
PIDILITIND,1900-01-01,,
PIIND,1900-01-01,,
PINELABS,2026-07-15,,added in 2026-07-15 nse500 refresh (Pine Labs Ltd.)
PIRAMALFIN,2026-07-15,,added in 2026-07-15 nse500 refresh (Piramal Finance Ltd.)
PNB,1900-01-01,,
PNBHOUSING,1900-01-01,,
POLICYBZR,1900-01-01,,
POLYCAB,1900-01-01,,
POLYMED,1900-01-01,,
POONAWALLA,1900-01-01,,
POWERGRID,1900-01-01,,
POWERINDIA,1900-01-01,,
PPLPHARMA,1900-01-01,,
PRAJIND,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
PREMIERENE,1900-01-01,,
PRESTIGE,1900-01-01,,
PTCIL,1900-01-01,,
PVRINOX,1900-01-01,,
PWL,2026-07-15,,added in 2026-07-15 nse500 refresh (Physicswallah Ltd.)
RADICO,1900-01-01,,
RAILTEL,1900-01-01,,
RAINBOW,1900-01-01,,
RAMCOCEM,1900-01-01,,
RBLBANK,1900-01-01,,
RCF,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
RECLTD,1900-01-01,,
REDINGTON,1900-01-01,,
RELIANCE,1900-01-01,,
RELINFRA,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
RHIM,1900-01-01,,
RITES,1900-01-01,,
RKFORGE,1900-01-01,,
RPOWER,1900-01-01,,
RRKABEL,1900-01-01,,
RVNL,1900-01-01,,
SAGILITY,1900-01-01,,
SAIL,1900-01-01,,
SAILIFE,1900-01-01,,
SAMMAANCAP,1900-01-01,,
SAPPHIRE,1900-01-01,,
SARDAEN,1900-01-01,,
SAREGAMA,1900-01-01,,
SBFC,1900-01-01,,
SBICARD,1900-01-01,,
SBILIFE,1900-01-01,,
SBIN,1900-01-01,,
SCHAEFFLER,1900-01-01,,
SCHNEIDER,1900-01-01,,
SCI,1900-01-01,,
SHREECEM,1900-01-01,,
SHRIRAMFIN,1900-01-01,,
SHYAMMETL,1900-01-01,,
SIEMENS,1900-01-01,,
SIGNATURE,1900-01-01,,
SJVN,1900-01-01,,
SKFINDIA,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
SOBHA,1900-01-01,,
SOLARINDS,1900-01-01,,
SONACOMS,1900-01-01,,
