date,portfolio_value,cash,invested,benchmark,drawdown,exposure
2021-07-06,3117524.954527213,0.0,3117524.954527213,16054.9,-0.030691773877412842,1.0
2021-07-07,3112124.360051722,0.0,3112124.360051722,16117.4,-0.03237093947428915,1.0
2021-07-08,3105714.485283111,0.0,3105714.485283111,15981.95,-0.03436391288500951,1.0
2021-07-09,3120458.487217525,0.0,3120458.487217525,15952.4,-0.029779672960886128,1.0
2021-07-12,3138568.9727088762,0.0,3138568.9727088762,15955.95,-0.02414871801364571,1.0
2021-07-13,3155092.7127331863,0.0,3155092.7127331863,16055.6,-0.019011117716776882,1.0
2021-07-14,3125337.2770553273,0.0,3125337.2770553273,16091.5,-0.02826274809507623,1.0
2021-07-15,3144192.6363421017,0.0,3144192.6363421017,16160.2,-0.0224001952270948,1.0
2021-07-16,3178685.4738195194,0.0,3178685.4738195194,16172.05,-0.011675600685961185,1.0
2021-07-19,3201330.246508867,0.0,3201330.246508867,16006.9,-0.004634834447799774,1.0
2021-07-20,3122646.8874507546,0.0,3122646.8874507546,15886.25,-0.029099250388794906,1.0
2021-07-22,3164225.4475473324,0.0,3164225.4475473324,16094.25,-0.01617154622610051,1.0
2021-07-23,3180841.560482719,0.0,3180841.560482719,16119.1,-0.011005225125426343,1.0
2021-07-26,3185052.4970732965,0.0,3185052.4970732965,16094.2,-0.009695950769498585,1.0
2021-07-27,3192357.9159720913,0.0,3192357.9159720913,16011.05,-0.007424532661492678,1.0
2021-07-28,3148271.2676420277,0.0,3148271.2676420277,15983.9,-0.021132057544797078,1.0
2021-07-29,3166037.442769584,0.0,3166037.442769584,16045.2,-0.015608156389533945,1.0
2021-07-30,3183529.339993335,0.0,3183529.339993335,16040.15,-0.010169534368288824,1.0
2021-08-02,3194891.952980145,0.0,3194891.952980145,16166.95,-0.006636643886572591,1.0
2021-08-03,3213584.210370316,0.0,3213584.210370316,16399.95,-0.0008248030457214117,1.0
2021-08-04,3172902.6547230408,0.0,3172902.6547230408,16494.55,-0.013473608465259135,1.0
2021-08-05,3156599.662508764,0.0,3156599.662508764,16520.5,-0.01854257333136644,1.0
2021-08-06,3171800.364128156,0.0,3171800.364128156,16476.55,-0.013816335261927604,1.0
2021-08-09,3137583.929618292,0.0,3137583.929618292,16483.45,-0.02445498993920059,1.0
2021-08-10,3004532.748310309,0.0,3004532.748310309,16493.84,-0.06582357765487279,1.0
2021-08-11,2985918.3895715773,0.0,2985918.3895715773,16490.15,-0.07161119806292993,1.0
2021-08-12,3072554.0002783495,0.0,3072554.0002783495,16569.3,-0.04467424924676122,1.0
2021-08-13,3073628.321591272,0.0,3073628.321591272,16716.15,-0.044340218725336666,1.0
2021-08-16,3120909.0836730497,0.0,3120909.0836730497,16748.0,-0.029639572446095497,1.0
2021-08-17,3127049.3470078735,0.0,3127049.3470078735,16805.15,-0.027730427259507584,1.0
2021-08-18,3102760.3574359044,0.0,3102760.3574359044,16778.8,-0.035282417296387925,1.0
2021-08-20,3024591.4024354024,0.0,3024591.4024354024,16642.15,-0.059586893512163286,1.0
