symbol,entry_date,exit_date_x0,ret_x0,hold_x0,why_x0,peak_gain_x0,closed_x0,exit_date_win,ret_win,hold_win,why_win,peak_gain_win,closed_win,exit_date_winbs,ret_winbs,hold_winbs,why_winbs,peak_gain_winbs,closed_winbs,d_ret_win,d_ret_winbs,kept_x0,kept_win
ZENTEC,2023-04-03,2024-01-25,1.1602343033021594,202,ma150,1.5998423321424378,True,2025-02-13,3.3991598136260492,465,ratchet,6.718656324805371,True,2024-01-25,1.1602343033021594,202,ma150_backstop,1.5998423321424378,True,2.23892551032389,0.0,0.7252179042846211,0.5059285144674397
STERTOOLS,2023-04-03,2023-07-25,-0.14303745085868003,76,ma150,0.10839772968030426,True,2024-10-23,0.292801052147722,386,ratchet,0.5156527416922827,True,2023-07-25,-0.14303745085868003,76,ma150_backstop,0.10839772968030426,True,0.43583850300640203,0.0,-1.3195613162797613,0.5678260357674039
MOLDTECH,2023-04-03,2023-07-10,-0.0366790429207835,65,ma150,0.4179437335077676,True,2023-07-04,0.10813625176333175,61,ratchet,0.4179437335077676,True,2023-07-04,0.10813625176333175,61,ratchet,0.4179437335077676,True,0.14481529468411525,0.14481529468411525,-0.0877607198771454,0.25873399477904124
HARIOMPIPE,2023-05-02,2023-12-21,0.19339253283468305,161,ma150,0.3545358554112126,True,2023-07-25,0.12754233364270817,59,ratchet,0.3093751527144817,True,2023-07-25,0.12754233364270817,59,ratchet,0.3093751527144817,True,-0.06585019919197488,-0.06585019919197488,0.5454808868636839,0.41225784463827103
ELECON,2023-05-02,2024-03-13,0.9250860140504265,218,ma150,1.5202126792962387,True,2025-02-12,1.1123927611550641,447,ratchet,2.348910633718653,True,2024-03-13,0.9250860140504265,218,ma150_backstop,1.5202126792962387,True,0.18730674710463768,0.0,0.6085240747226777,0.4735781537137457
FACT,2023-05-02,2024-03-13,0.7727310658893938,218,ma150,1.5323267131200211,True,2023-08-16,0.24343373622555697,74,ratchet,0.41471643458906726,True,2023-08-16,0.24343373622555697,74,ratchet,0.41471643458906726,True,-0.5292973296638368,-0.5292973296638368,0.5042861024826817,0.5869883995959063
KPIGREEN,2023-05-02,2024-08-30,4.2799963386654065,332,ma150,5.530498256518915,True,2025-01-15,2.8002939356419168,426,ratchet,5.530498256518915,True,2024-08-30,4.2799963386654065,332,ma150_backstop,5.530498256518915,True,-1.4797024030234898,0.0,0.7738898269465114,0.5063366455890572
NEULANDLAB,2023-06-01,2025-02-14,3.437938719723828,427,ma150,5.460887489721106,True,2026-09-09,7.380456774266609,813,open_at_end,7.686874084384646,False,2025-02-14,3.437938719723828,427,ma150_backstop,5.460887489721106,True,3.9425180545427807,0.0,0.6295567755598289,0.9601375921142635
ITDCEM,2023-06-01,2024-11-25,2.0366905550520626,368,ma150,2.8953935408813263,True,2023-10-25,0.20348139663491271,99,ratchet,0.4852678728466975,True,2023-10-25,0.20348139663491271,99,ratchet,0.4852678728466975,True,-1.83320915841715,-1.83320915841715,0.7034244313579964,0.41931767590803437
UJJIVAN,2023-06-01,2024-02-23,0.4907299518202579,183,ma150,0.6736558101279229,True,2024-03-14,0.3232776209634145,197,ratchet,0.6736558101279229,True,2024-02-23,0.4907299518202579,183,ma150_backstop,0.6736558101279229,True,-0.1674523308568434,0.0,0.7284579817207715,0.47988544907231806
JINDALSAW,2023-06-01,2024-03-14,0.6426892198770018,197,ma150,1.1899582625109382,True,2023-08-03,0.28386216600209435,44,ratchet,0.5487515150774707,True,2023-08-03,0.28386216600209435,44,ratchet,0.5487515150774707,True,-0.35882705387490743,-0.35882705387490743,0.5400939176814986,0.5172872569873812
BHARATWIRE,2023-06-01,2024-03-13,0.48594713407193746,196,ma150,1.133385051758831,True,2024-03-13,0.48594713407193746,196,ratchet,1.133385051758831,True,2024-03-13,0.48594713407193746,196,ma150_backstop,1.133385051758831,True,0.0,0.0,0.4287573171340365,0.4287573171340365
AGI,2023-06-01,2024-01-23,0.3326837292243816,161,ma150,0.8278681019285719,True,2023-12-21,0.3925006272054439,139,ratchet,0.8278681019285719,True,2023-12-21,0.3925006272054439,139,ratchet,0.8278681019285719,True,0.05981689798106227,0.05981689798106227,0.4018559580316883,0.4741100983249487
BECTORFOOD,2023-06-01,2024-02-12,0.3071537236157036,174,ma150,0.7305624957817742,True,2023-09-20,0.22632576619935985,76,ratchet,0.4401225053533122,True,2023-09-20,0.22632576619935985,76,ratchet,0.4401225053533122,True,-0.08082795741634374,-0.08082795741634374,0.4204345629418311,0.5142335678055701
SDBL,2023-06-01,2023-12-04,0.2769709435091834,126,ma150,0.6618149860506015,True,2023-10-25,0.30871448545824753,99,ratchet,0.6618149860506015,True,2023-10-25,0.30871448545824753,99,ratchet,0.6618149860506015,True,0.03174354194906415,0.03174354194906415,0.41850207285576113,0.4664664475195846
NUCLEUS,2023-06-01,2024-02-20,0.2019408595845431,180,ma150,0.6207514815443653,True,2023-11-16,0.27254941155397483,115,ratchet,0.5803762250418778,True,2023-11-16,0.27254941155397483,115,ratchet,0.5803762250418778,True,0.07060855196943172,0.07060855196943172,0.32531675813666233,0.4696081606966389
VENUSPIPES,2023-07-03,2024-10-08,0.736872999806057,315,ma150,1.1012703977814513,True,2023-09-26,0.10286144057050373,59,ratchet,0.354899567572319,True,2023-09-26,0.10286144057050373,59,ratchet,0.354899567572319,True,-0.6340115592355533,-0.6340115592355533,0.669111783346319,0.2898325328321042
JWL,2023-07-03,2024-03-14,0.7842923778112223,176,ma150,1.3235700971139184,True,2023-08-02,0.12487546609676659,22,ratchet,0.264503425955922,True,2023-08-02,0.12487546609676659,22,ratchet,0.264503425955922,True,-0.6594169117144557,-0.6594169117144557,0.5925582479699366,0.4721128493722284
JBMA,2023-07-03,2024-08-05,0.3693686807810219,271,ma150,0.7387299700889898,True,2024-03-12,0.321884653343655,174,ratchet,0.7387299700889898,True,2024-03-12,0.321884653343655,174,ratchet,0.7387299700889898,True,-0.047484027437366905,-0.047484027437366905,0.5000050028246811,0.4357270807692827
RKFORGE,2023-07-03,2024-03-13,0.46369648770592464,175,ma150,0.8052649256443187,True,2024-03-15,0.4001394685277053,177,ratchet,0.8052649256443187,True,2024-03-13,0.46369648770592464,175,ma150_backstop,0.8052649256443187,True,-0.06355701917821932,0.0,0.575830975544981,0.49690413152856583
KARURVYSYA,2023-07-03,2024-10-08,0.5343221255681576,315,ma150,0.8031749138949325,True,2026-09-09,2.1729419071891747,792,open_at_end,2.307648664364795,False,2024-10-08,0.5343221255681576,315,ma150_backstop,0.8031749138949325,True,1.638619781621017,0.0,0.6652624681428423,0.9416259679145309
MAZDOCK,2023-07-03,2024-02-23,0.6074349730544109,162,ma150,0.8372455451255796,True,2024-03-21,0.4368351967060464,181,ratchet,0.8372455451255796,True,2024-02-23,0.6074349730544109,162,ma150_backstop,0.8372455451255796,True,-0.17059977634836443,0.0,0.7255159213338076,0.521752787159381
