symbol,status,merged_rows,kite_rows,gdf_rows_used,anchor_date,rescale_pct,boundary_pct,warn,gdf_rows
HFCL,stitched,3760.0,1579.0,2181.0,2023-12-29,0.0,-0.5698005698005826,False,
HGINFRA,gdf_only,,,,,,,,1439.0
HINDALCO,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.8558871154290992,False,
HINDCOPPER,stitched,4053.0,1579.0,2474.0,2023-12-29,0.0,3.0573248407643305,False,
HINDPETRO,stitched,4258.0,1579.0,2679.0,2023-12-29,-10.246286896033086,-3.9680606213435943,True,
HINDUNILVR,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.7046281851273983,False,
HINDZINC,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.2146434533746744,False,
HOMEFIRST,no_pre_history,,1305.0,,,0.0,,,
HONASA,no_pre_history,,622.0,,,0.0,,,
HONAUT,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,-0.6483605192009523,False,
HSCL,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.577081615828523,False,
HUDCO,stitched,2225.0,1579.0,646.0,2023-12-29,0.0,4.160887656033285,False,
HYUNDAI,kite_only,,384.0,,,,,,
ICICIAMC,no_data,,,,,,,,
ICICIBANK,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.3989608461681171,False,
ICICIGI,stitched,2135.0,1579.0,556.0,2023-12-29,0.0,-0.09734640899913272,False,
ICICIPRULI,stitched,2382.0,1579.0,803.0,2023-12-29,0.0,-0.31091304798425146,False,
ICIL,gdf_only,,,,,,,,3564.0
IDBI,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.2702702702702675,False,
IDEA,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.8130081300813163,False,
IDFCFIRSTB,stitched,2601.0,1579.0,1022.0,2023-12-29,0.0,1.439645625692143,False,
IEX,stitched,2119.0,1579.0,540.0,2023-12-29,0.0,0.21008403361344463,False,
IFBIND,gdf_only,,,,,,,,3667.0
IFCI,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,1.5151515151515138,False,
IGIL,kite_only,,343.0,,,,,,
IGL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.009561143512759607,-0.7008244804751373,False,
IIFL,stitched,4256.0,1579.0,2677.0,2023-12-29,-2.8671737858396718,0.5627078108937145,False,
IIFLCAPS,no_data,,,,,,,,
IKS,kite_only,,344.0,,,,,,
IMFA,gdf_only,,,,,,,,3333.0
INDGN,kite_only,,496.0,,,,,,
INDHOTEL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-3.551724137931034,False,
INDIACEM,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,2.3809523809523725,False,
INDIAGLYCO,gdf_only,,,,,,,,3673.0
INDIAMART,stitched,1699.0,1579.0,120.0,2023-12-29,0.0,-0.3552862135396073,False,
INDIANB,stitched,4258.0,1579.0,2679.0,2023-12-29,-2.4946543121881715,0.37422266248419156,False,
INDIASHLTR,gdf_only,,,,,,,,7.0
INDIGO,stitched,2600.0,1579.0,1021.0,2023-12-29,0.0,-0.04124329796407755,False,
INDIGOPNTS,gdf_only,,,,,,,,721.0
INDUSINDBK,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-1.7019867549668888,False,
INDUSTOWER,stitched,3304.0,1579.0,1725.0,2023-12-29,0.0,0.772277227722773,False,
INFY,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.7795937906038386,False,
INOXGREEN,gdf_only,,,,,,,,274.0
