index,status,hist_rows,kite_rows,merged_rows,hist_rows_used,anchor_date,rescale_pct,warn
NIFTY_SMLCAP_250,stitched,,1579.0,1810.0,231.0,2026-05-08,0.0,False
NIFTY_SMLCAP_50,hist_only,1803.0,,,,,,
NIFTY_TATA_25_CAP,hist_only,514.0,,,,,,
NIFTY_TMMQ_50,hist_only,121.0,,,,,,
NIFTY_TOP_10_EW,hist_only,367.0,,,,,,
NIFTY_TOP_15_EW,hist_only,344.0,,,,,,
NIFTY_TOP_20_EW,hist_only,344.0,,,,,,
NIFTY_TOTAL_MKT,hist_only,1067.0,,,,,,
NIFTY_TRANS_LOGIS,hist_only,344.0,,,,,,
NIFTY_WAVES,hist_only,121.0,,,,,,
US100,kite_only,,389.0,,,,,
US30,kite_only,,1612.0,,,,,
US500,kite_only,,1613.0,,,,,
