window,start,end,n_days,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,portfolio,variant
POST2021,2021-01-01,2026-08-21,1398,5.63,36.27,17.85,2.03,1.85,2.37,-17.22,2.11,2462,76.5,29.9,119.3,0.95,om25,ma_N100_scaled_50
EVAL,2015-07-01,2026-08-21,3473,11.11,24.89,14.25,1.75,1.33,1.85,-25.12,0.99,5037,78.5,27.8,111.7,0.97,om25,ma_N100_scaled_50
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-5.96,8.47,-0.7,-0.47,-0.55,-22.48,-0.27,483,123.1,33.6,31.5,1.91,om25,roc31_N500_exposure_00
COVID,2020-01-01,2020-12-31,252,1.0,50.75,16.61,3.06,2.56,3.25,-9.38,5.41,206,103.1,51.5,63.6,1.59,om25,roc31_N500_exposure_00
POST2021,2021-01-01,2026-08-21,1398,5.63,28.0,17.34,1.62,1.54,1.51,-19.99,1.4,1156,102.6,55.7,53.5,1.59,om25,roc31_N500_exposure_00
EVAL,2015-07-01,2026-08-21,3473,11.11,24.22,13.99,1.73,1.32,1.47,-22.69,1.07,2322,103.1,51.0,53.2,1.6,om25,roc31_N500_exposure_00
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-0.71,6.62,-0.11,-0.04,-0.1,-14.17,-0.05,619,75.6,11.5,99.1,1.14,om25,roc31_N500_exposure_25
COVID,2020-01-01,2020-12-31,252,1.0,32.43,14.41,2.25,2.03,2.6,-10.39,3.12,252,58.0,15.5,125.2,0.97,om25,roc31_N500_exposure_25
POST2021,2021-01-01,2026-08-21,1398,5.63,24.5,13.38,1.83,1.73,2.07,-10.03,2.44,1565,61.4,12.1,127.3,0.99,om25,roc31_N500_exposure_25
EVAL,2015-07-01,2026-08-21,3473,11.11,21.12,11.55,1.83,1.4,1.84,-14.17,1.49,3147,65.7,18.1,115.1,1.06,om25,roc31_N500_exposure_25
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-2.51,8.11,-0.31,-0.18,-0.32,-17.9,-0.14,648,75.6,11.5,99.1,1.16,om25,roc31_N500_exposure_50
COVID,2020-01-01,2020-12-31,252,1.0,32.18,16.11,2.0,1.82,2.28,-16.24,1.98,258,58.0,17.2,125.2,0.94,om25,roc31_N500_exposure_50
POST2021,2021-01-01,2026-08-21,1398,5.63,31.95,16.01,2.0,1.84,2.29,-12.8,2.49,1586,61.4,15.0,127.3,0.98,om25,roc31_N500_exposure_50
EVAL,2015-07-01,2026-08-21,3473,11.11,24.34,13.28,1.83,1.39,1.89,-17.97,1.35,3190,65.7,19.6,115.1,1.06,om25,roc31_N500_exposure_50
