stop_mode,stop_pct,trail,partial_r,timestop,n,meanR,medR,win,meanRet,hold,era1,era2,era3
fixed,0.08,ma150,2.0,,1751,0.5451579060803525,-1.022999999999999,0.36778983438035406,0.04361263248642819,29.0,0.4009062429932305,0.4673063158613945,0.6798023407798709
structure,0.08,ma150,2.0,40.0,1751,0.5393584436170431,-1.0229999999999995,0.3894917190177042,0.03510825855756419,21.0,0.2864498841916647,0.5091764549300919,0.6926286511608707
structure,0.1,ma150,2.0,40.0,1751,0.531354656170344,-1.0179999999999996,0.40205596801827526,0.03638508243059379,25.0,0.2791036088222057,0.4882685027914652,0.694337210909746
fixed,0.1,ma150,2.0,,1751,0.5260389962189242,-0.6398181130313321,0.384351798972016,0.0526038996218924,40.0,0.38255504439905386,0.4178804377001049,0.6838924666797708
structure,0.06,ma150,3.0,40.0,1751,0.524491766661634,-1.0313333333333328,0.3198172472872644,0.029164730431921214,15.0,0.15216385440980543,0.56898953763933,0.6808744471210421
structure,0.06,ma150,2.0,,1751,0.5022648306008878,-1.0313333333333325,0.33466590519703027,0.027993230813380742,14.0,0.19054519532288117,0.5110002824645556,0.6554016148549405
fixed,0.06,ma150,3.0,40.0,1751,0.49875389874279813,-1.0313333333333325,0.327812678469446,0.02992523392456792,16.0,0.13520045264088185,0.5529047200700009,0.6431167419133027
fixed,0.08,ma150,2.0,40.0,1751,0.4901257142487866,-0.8269218662735371,0.4169046259280411,0.0392100571399029,29.0,0.3190129427694297,0.45368692921995923,0.606300169107504
fixed,0.06,ma150,2.0,,1751,0.4892421184441322,-1.0313333333333325,0.33980582524271846,0.029354527106647973,15.0,0.16497060754400755,0.5154208045731328,0.6352344142898045
fixed,0.1,ma150,3.0,40.0,1751,0.4771790200650495,-0.34475605974914497,0.4477441462021702,0.04771790200650495,40.0,0.31993414273581283,0.4162583053943777,0.6053044351725241
structure,0.08,ma50,,40.0,1751,0.4713563545428248,-0.5922996452880406,0.3038263849229012,0.029601077801308922,15.0,0.324247852533184,0.5215060452529131,0.5077797404266948
structure,0.08,ma50,,,1751,0.46709544929553126,-0.5925040997060322,0.3003997715591091,0.029286022754446615,15.0,0.3235401131864822,0.5176808718183337,0.5013563987113425
structure,0.06,ma150,2.0,40.0,1751,0.4662418854863183,-1.0313333333333325,0.34837235865219873,0.0258594344604482,14.0,0.11925412489968294,0.5304416924974038,0.5942789495941264
structure,0.1,ma50,,,1751,0.4631831024570497,-0.5382197484738012,0.3083952027412907,0.03048327997137095,15.0,0.33996271899486796,0.4856326532169885,0.5089225103301017
structure,0.1,ma50,,40.0,1751,0.4620769583852788,-0.5375671725007146,0.3118218161050828,0.03028006247920535,15.0,0.3349004936257273,0.4894316601316075,0.5060260770327638
fixed,0.06,ma150,2.0,40.0,1751,0.44689650546633586,-1.0313333333333323,0.35579668760708166,0.026813790327980182,15.0,0.10516155455126444,0.5150924357447156,0.5691262466221894
structure,0.06,ma50,,40.0,1751,0.442464767574779,-0.8230793268313134,0.2735579668760708,0.024010436219527954,12.0,0.22282866393454284,0.5645187835732917,0.4601024810667392
structure,0.06,ma50,,,1751,0.44030846521302663,-0.8252120589090467,0.2712735579668761,0.02388167773265398,12.0,0.22032287411691556,0.5642586505422217,0.45664876814339894
fixed,0.1,ma150,2.0,40.0,1751,0.43028830712423166,-0.3142807539090163,0.45345516847515704,0.04302883071242316,40.0,0.2674283069830289,0.37918891664983695,0.5536459738619492
fixed,0.06,ma50,,,1751,0.4032708149711269,-0.7538499757246335,0.2747001713306682,0.024196248898267637,12.0,0.19315147912484004,0.5159170602233427,0.42335231199557194
fixed,0.06,ma50,,40.0,1751,0.4013349286312717,-0.7524083851250158,0.2775556824671616,0.024080095717876324,12.0,0.19565726894246738,0.5021540241252666,0.42834838514839785
fixed,0.08,ma50,,,1751,0.3888393930733163,-0.4637583098489181,0.3158195316961736,0.031107151445865282,16.0,0.31184129415579276,0.41979631554091296,0.40423714949667916
fixed,0.08,ma50,,40.0,1751,0.3873013083707331,-0.46132346744857144,0.3198172472872644,0.030984104669658636,16.0,0.3043668823014168,0.4152017864242932,0.4081252750949526
structure,0.08,ma50,3.0,40.0,1751,0.3586062129813863,-0.5891013245970791,0.30953740719588807,0.02306800750242603,15.0,0.23213500293886277,0.4022920625657169,0.3894748436541514
structure,0.08,ma50,3.0,,1751,0.35556636132088437,-0.5893236945986003,0.30611079383209594,0.022850636742507053,15.0,0.2336155223077582,0.3996205780539109,0.3838287565263748
structure,0.1,ma50,3.0,,1751,0.3545033631558578,-0.535622266657795,0.31353512278697887,0.024091091424637622,15.0,0.24373065978334102,0.3834017248464326,0.3888336962921596
