symbol,company_name
SUJANATOW,Sujana Towers Ltd.-old
SUNCLAY,Sundaram Clayton Ltd.
SUNDRMBRAK,Sundaram Brake Linings Ltd.
SUNDRMCLAY,Sundaram Clayton Ltd.- OLD
SUNDRMFAST,Sundram Fasteners Ltd.
SUNDROP,Agro Tech Foods Ltd.
SUNTECK,Sunteck Realty Ltd.
SUPRAJIT,Suprajit Engineering Ltd.
SUPREMEINF,Supreme Infrastructure India Ltd.
SURYALAXMI,Suryalakshmi Cotton Mills Ltd.
SURYAROSNI,Surya Roshni Ltd.
SUVEN,Suven Life Sciences Ltd.
SWARAJENG,Swaraj Engines Ltd.
SWSOLAR,Sterling And Wilson Solar Ltd.
SYMPHONY,Symphony Ltd.
SYNDIBANK,Syndicate Bank
TAJGVK,Taj GVK Hotels & Resorts Ltd.
TAKE,Take Solutions Ltd.
TANLA,Tanla Platforms Ltd.
TASTYBITE,Tasty Bite Eatables Ltd.
TATACOFFEE,Tata Coffee Ltd.
TATAFIN,Tata Finance Ltd.
TATAMETALI,Tata Metaliks Ltd.
TATAMTRDVR,Tata Motors Ltd DVR
TATASTLBSL,Bhushan Steel Ltd.
TATASTLLP,Tata Sponge Iron Ltd.
TATAVASHIS,Vashisti Detergents Ltd.
TBZ,Tribhovandas Bhimji Zaveri Ltd.
TCI,Transport Corporation of India Ltd.
TCIEXP,TCI Express Ltd.
TCIIND,TCI Industries Ltd.
TCNSBRANDS,TCNS Clothing Co. Ltd.
TDPOWERSYS,TD Power Systems Ltd.
TEAMLEASE,Teamlease Services Ltd.
TECHNO,Techno Elt & Eng Co. Ltd.
TEXRAIL,Texmaco Rail & Eng. Ltd.
TFCILTD,Tourism Finance Corporation of India Ltd.
THANGAMAYL,Thangamayil Jewellery Ltd.
THIRUSUGAR,Thiru Arooran Sugars Ltd.
THOMASCOOK,Thomas Cook (India) Ltd.
THYROCARE,Thyrocare Technologies Ltd.
TI,Tilaknagar Industries Ltd.
TIMETECHNO,Time Technoplast Ltd.
TINPLATE,Tinplate Company of India Ltd.
TIPSMUSIC,Tips Industries Ltd.
TIRUMALCHM,Thirumalai Chemicals Ltd.
TMB,Tamilnad Mercantile Bank Ltd.
TNPETRO,Tamilnadu Petroproducts Ltd.
TNPL,Tamil Nadu Newsprint & Papers Ltd.
TNTELE,Tamilnadu Telecommunications Ltd.
TODAYS,Todays Writing Instruments Ltd.
TORRENTAEC,Torrent Power AEC Ltd.
TRANSPEK,Transpek Industry Ltd.
TREEHOUSE,Tree House Education & Accessories Ltd.
TRIGYN,Trigyn Technologies Ltd.
TRIVENI,Triveni Engineering & Industries Ltd.
TTKPRESTIG,TTK Prestige Ltd.
TULIP,Tulip Telecom Ltd.
TV-18,Television Eighteen India Ltd.
TV18,Television Eighteen India Ltd.
TV18BRDCST,TV18 Broadcast Ltd.
TVSHLTD,Sundaram Clayton Ltd.
TVSSCS,TVS Supply Chain Solutions Ltd.
TVSSRICHAK,TVS Srichakra Ltd.
TVTODAY,TV Today Network Ltd.
UBHOLDINGS,United Breweries (Holdings) Ltd.
UCAL,UCAL Fuel Systems Ltd.
UFLEX,UFLEX Ltd.
UJJIVAN,Ujjivan Financial Services Ltd.
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.
UMIYA-MRO,MRO-TEK Ltd.
UNICHEMLAB,Unichem Laboratories Ltd.
UNITECH,Unitech Ltd.
UNITEDBNK,United Bank of India
UNITY,Unity Infraprojects Ltd.
UTTAMSTL,Uttam Galva Steels Ltd.
UTTAMSUGAR,Uttam Sugar Mills Ltd.
UTVSOF,UTV Software Communication Ltd.
V2RETAIL,V2 Retail Ltd.
VAIBHAVGBL,Vaibhav Global Ltd.
VAKRANGEE,Vakrangee Software Ltd.
VALIANTORG,Valiant Organics Ltd.
VALUEIND,Value Industries Ltd.
VAML,Vedanta Aluminium Metal Ltd.
VARDMNPOLY,Vardhman Polytex Ltd.
VARROC,Varroc Engineering Ltd.
VARUNSHIP,Varun Shipping Co. Ltd.
VDOCONINTL,Videocon International Ltd.
VEDPOWER,Vedanta Power Ltd.
VEEDOL,Tide Water Oil (India) Ltd.
VENKEYS,Venky's (India) Ltd.
VENTIVE,Ventive Hospitality Ltd.
VESUVIUS,Vesuvius India Ltd.
VGUARD,V-Guard Industries Ltd.
VHL,Vardhman Holdings Ltd.
VIDEOIND,Videocon Industries Ltd.
VIJAYABANK,Vijaya Bank
VIKASWSP,Vikas WSP Ltd.
VINATIORGA,Vinati Organics Ltd.
VINDHYATEL,Vindhya Telelinks Ltd.
VINYLINDIA,Vinyl Chemicals (India) Ltd.
VIPIND,V.I.P. Industries Ltd.
VISAKAIND,Visaka Industries Ltd.
VISHALEXPO,Vishal Exports Overseas Ltd.
VISL,Vedanta Iron and Steel Ltd.
VISUALSOFT,Visualsoft Technologies Ltd.
VIVIDHA,Visagar Polytex Ltd.
VIYASH,Sequent Scientific Ltd.
VLSFINANCE,VLS Finance Ltd.
VMART,V-Mart Retail Ltd.
VOGL,Vedanta Oil and Gas Ltd.
VRLLOG,VRL Logistics Ltd.
VSTIND,VST Industries Ltd.
WABAG,Va Tech Wabag Ltd.
WARRENTEA,Warren Tea Ltd.
WELLWININD,Wellwin Industry Ltd.
WESTLIFE,Westlife Development Ltd.
WHEELS,Wheels India Ltd.
WINDMACHIN,Windsor Machines Ltd.
WONDERLA,Wonderla Holidays Ltd.
WSTCSTPAPR,West Coast Paper Mills Ltd.
WYETH,Wyeth Ltd.
ZANDUREALT,Zandu Realty Ltd.
ZEELEARN,Zee Learn Ltd.
ZEEMEDIA,Zee Media Corporation Ltd.
ZENITHCOMP,Zenith Computer Ltd.
ZODIACLOTH,Zodiac Clothing Co. Ltd.
ZUARIIND,Zuari Global Ltd.
