ext,slope,above_low,near_high,spread,lead,avoid,ext_n,lead_n,mono,era_min,ext_minus_lead
0.2,21,0.4,0.3,0.06762299773164833,0.040149944953679434,-0.027473052777968892,6070,35227,True,0.02147581530941509,0.039217693998834346
0.2,42,0.2,0.2,0.0678412811872073,0.0403682284092384,-0.027473052777968892,5835,36289,True,0.019155190312266337,0.04378888531591142
0.2,42,0.2,0.25,0.06618902246109452,0.03871596968312563,-0.027473052777968892,5906,37457,True,0.0178113758164425,0.04377613020368601
0.2,42,0.2,0.3,0.06540704761453042,0.03793399483656153,-0.027473052777968892,5936,37846,True,0.017661550758797863,0.04305832618437589
0.2,42,0.3,0.2,0.06867007672596445,0.041197023947995556,-0.027473052777968892,5835,35389,True,0.020703171901191097,0.042970605871306765
0.2,42,0.3,0.25,0.0669482801446813,0.0394752273667124,-0.027473052777968892,5906,36552,True,0.01925774442812561,0.04303500328386991
0.2,42,0.3,0.3,0.06616237587766566,0.03868932309969676,-0.027473052777968892,5936,36937,True,0.019111704757976758,0.042318702559219226
0.2,42,0.4,0.2,0.07093954322902236,0.043466490451053476,-0.027473052777968892,5834,33357,True,0.024068426593097405,0.04073078836866866
0.2,42,0.4,0.25,0.06901907071206839,0.0415460179340995,-0.027473052777968892,5905,34496,True,0.022399198245999882,0.04102149990255298
0.2,42,0.4,0.3,0.06820812733201648,0.04073507455404758,-0.027473052777968892,5935,34874,True,0.02227400141797363,0.040325976921225117
0.2,63,0.2,0.2,0.0683510852270443,0.04087803244907541,-0.027473052777968892,5685,35774,True,0.0193357290349421,0.04667857925472204
0.2,63,0.2,0.25,0.06673052891011942,0.039257476132150526,-0.027473052777968892,5750,36883,True,0.018024155931496446,0.04656583254148125
0.2,63,0.2,0.3,0.0660231012248027,0.038550048446833816,-0.027473052777968892,5775,37239,True,0.01788725603221973,0.046109669282753035
0.2,63,0.3,0.2,0.06912114555901813,0.04164809278104924,-0.027473052777968892,5685,34924,True,0.020814557659262673,0.04593141568445831
0.2,63,0.3,0.25,0.0674397676377993,0.0399667148598304,-0.027473052777968892,5750,36030,True,0.019405617447601598,0.045884850514429275
0.2,63,0.3,0.3,0.06671650642577738,0.039243453647808485,-0.027473052777968892,5775,36384,True,0.01925096180910774,0.04544462479221479
0.2,63,0.4,0.2,0.07133472025748257,0.04386166747951367,-0.027473052777968892,5684,32966,True,0.024177287926381567,0.0437761052501763
0.2,63,0.4,0.25,0.06944878084365828,0.04197572806568939,-0.027473052777968892,5749,34050,True,0.022522170489577383,0.04396077445319933
0.2,63,0.4,0.3,0.06870074911034589,0.041227696332377,-0.027473052777968892,5774,34400,True,0.02237488139535451,0.043542919833393486
0.25,21,0.2,0.2,0.06745055299983686,0.039977500221867975,-0.027473052777968892,3584,39047,True,0.0184865269221536,0.046603585210470144
0.25,21,0.2,0.25,0.0654999247292715,0.03802687195130262,-0.027473052777968892,3630,40318,True,0.016688395984958547,0.04601070110226123
0.25,21,0.2,0.3,0.06474538579774573,0.037272333019776845,-0.027473052777968892,3657,40775,True,0.016532510903810044,0.04479905122622878
0.25,21,0.3,0.2,0.06833480158647774,0.04086174880850885,-0.027473052777968892,3584,38091,True,0.02012851191853471,0.04573028978343175
0.25,21,0.3,0.25,0.06630821043449943,0.03883515765653054,-0.027473052777968892,3630,39355,True,0.01825767062753601,0.04521689726145186
0.25,21,0.3,0.3,0.06548101149847965,0.03800795872051076,-0.027473052777968892,3657,39805,True,0.018130423638592623,0.0440819153790399
0.25,21,0.4,0.2,0.0707188489806453,0.043245796202676406,-0.027473052777968892,3584,35968,True,0.023717098820469316,0.04333743905390457
0.25,21,0.4,0.25,0.0684967744793045,0.04102372170133561,-0.027473052777968892,3630,37198,True,0.021624170180463028,0.04303298318393838
0.25,21,0.4,0.3,0.06762299773164833,0.040149944953679434,-0.027473052777968892,3657,37640,True,0.02147581530941509,0.04194201551956798
0.25,42,0.2,0.2,0.0678412811872073,0.0403682284092384,-0.027473052777968892,3501,38623,True,0.019155190312266337,0.04604664492776475
0.25,42,0.2,0.25,0.06618902246109452,0.03871596968312563,-0.027473052777968892,3541,39822,True,0.0178113758164425,0.04572973992414276
