date,rank,symbol,score,score_6m,mom_6m,vol_6m
2023-09-07,10,HBLENGINE,3.216336222307695,3.216336222307695,1.7516339869281041,0.05
2023-09-07,11,RKFORGE,3.01752714312843,3.01752714312843,1.6692250093597902,0.05
2023-09-07,12,IRFC,2.835980723582735,2.835980723582735,1.5939716312056742,0.05
2023-09-07,13,JBMA,2.7378307999465163,2.7378307999465163,1.5532871972318336,0.05
2023-09-07,14,COCHINSHIP,2.527269777584487,2.527269777584487,1.4660068846815837,0.05
2023-09-07,15,JINDALSAW,2.4973921307148235,2.4973921307148235,1.4536222071767098,0.05
2023-09-07,16,OLECTRA,2.2581535874111247,2.2581535874111247,1.3544546850998467,0.05
2023-09-07,17,RVNL,2.220642328622334,2.220642328622334,1.3389057750759878,0.05
2023-09-07,18,DBREALTY,2.211867528594462,2.211867528594462,1.3352685050798256,0.05
2023-09-07,19,IRCON,2.1942410195685684,2.1942410195685684,1.327962085308057,0.05
2023-09-07,20,KIRLOSBROS,2.1257804601978068,2.1257804601978068,1.2995842832238163,0.05
2023-09-07,21,ELECON,2.1030336720206244,2.1030336720206244,1.290155440414508,0.05
2023-09-07,22,NEULANDLAB,1.9867283696595999,1.9867283696595999,1.2419453632243047,0.05
2023-09-07,23,KAYNES,1.9460575911615874,1.9460575911615874,1.2250867907347334,0.05
2023-09-07,24,SCHNEIDER,1.9143731497559284,1.9143731497559284,1.2119531731361675,0.05
2023-09-14,1,JWL,5.39466677468684,5.39466677468684,2.6389316897791475,0.05
2023-09-14,2,TITAGARH,4.1724800799254345,4.1724800799254345,2.140794979079498,0.05
2023-09-14,3,GVT&D,3.956990470246797,3.956990470246797,2.0529661016949152,0.05
2023-09-14,4,MAZDOCK,3.772731273559316,3.772731273559316,1.9778660612939847,0.05
2023-09-14,5,IRFC,3.741970078060274,3.741970078060274,1.965328467153285,0.05
2023-09-14,6,ZENTEC,3.7239483265856923,3.7239483265856923,1.9579831932773106,0.05
2023-09-14,7,FORCEMOT,3.656875726303569,3.656875726303569,1.9306458604247942,0.05
2023-09-14,8,BSE,3.626066615875633,3.626066615875633,1.9180887372013653,0.05
2023-09-14,9,IRCON,3.5930313402200174,3.5930313402200174,1.9046242774566475,0.05
2023-09-14,10,SUZLON,3.5089888101570543,3.5089888101570543,1.8703703703703707,0.05
2023-09-14,11,HSCL,3.1775365078303714,3.1775365078303714,1.7352776219854178,0.05
2023-09-14,12,TARIL,3.083789556546866,3.083789556546866,1.6970684039087947,0.05
2023-09-14,13,RKFORGE,3.063289484649013,3.063289484649013,1.688713020538911,0.05
2023-09-14,14,RVNL,3.0251842936195765,3.0251842936195765,1.6731821735731036,0.05
2023-09-14,15,HBLENGINE,2.853458384902759,2.853458384902759,1.6031904287138588,0.05
2023-09-14,16,DBREALTY,2.668272583614654,2.668272583614654,1.527712724434036,0.05
2023-09-14,17,JBMA,2.514989851928233,2.514989851928233,1.465238017340095,0.05
2023-09-14,18,SJVN,2.510420861372611,2.510420861372611,1.4633757961783438,0.05
2023-09-14,19,COCHINSHIP,2.3350485142861785,2.3350485142861785,1.3918978423601942,0.05
2023-09-14,20,FACT,2.233061295666221,2.233061295666221,1.3503300705668106,0.05
2023-09-14,21,SCHNEIDER,1.9258412384440764,1.9258412384440764,1.225113858165257,0.05
2023-09-14,22,APARINDS,1.9231304894521177,1.9231304894521177,1.2240090158427424,0.05
2023-09-14,23,J&KBANK,1.9087867980611473,1.9087867980611473,1.2181628392484343,0.05
2023-09-14,24,RAILTEL,1.8126942657427847,1.8126942657427847,1.178997613365155,0.05
2023-09-21,1,JWL,4.76324347495471,4.76324347495471,2.3293381969775924,0.05
2023-09-21,2,MAZDOCK,4.710020558465202,4.710020558465202,2.308061132753971,0.05
2023-09-21,3,GVT&D,4.678438107469044,4.678438107469044,2.2954353338968727,0.05
2023-09-21,4,TITAGARH,4.641399397751661,4.641399397751661,2.2806282722513087,0.05
2023-09-21,5,SUZLON,4.408446288960419,4.408446288960419,2.1875,0.05
2023-09-21,6,FORCEMOT,3.9965274531087442,3.9965274531087442,2.0228261319855836,0.05
2023-09-21,7,IRFC,3.33260321692145,3.33260321692145,1.7574074074074075,0.05
2023-09-21,8,BSE,3.1283884024815056,3.1283884024815056,1.675767918088737,0.05
2023-09-21,9,HSCL,3.0623982060393686,3.0623982060393686,1.649386845039019,0.05
2023-09-21,10,TARIL,3.0550885542446,3.0550885542446,1.6464646464646462,0.05
2023-09-21,11,RVNL,2.745343389265207,2.745343389265207,1.5226370135027802,0.05
2023-09-21,12,IRCON,2.7187727193068856,2.7187727193068856,1.512014787430684,0.05
2023-09-21,13,HBLENGINE,2.652302381634433,2.652302381634433,1.4854417670682731,0.05
2023-09-21,14,FACT,2.5716196439069288,2.5716196439069288,1.453187018445015,0.05
2023-09-21,15,COCHINSHIP,2.287589732813659,2.287589732813659,1.3396396396396395,0.05
2023-09-21,16,DBREALTY,2.2682210023738594,2.2682210023738594,1.3318965517241383,0.05
2023-09-21,17,J&KBANK,2.262830006689761,2.262830006689761,1.3297413793103448,0.05
2023-09-21,18,JBMA,2.1950956834644866,2.1950956834644866,1.3026630521447933,0.05
2023-09-21,19,SJVN,2.1775233786998887,2.1775233786998887,1.2956381260096932,0.05
2023-09-21,20,ZENTEC,2.1638685657645964,2.1638685657645964,1.2901793058068765,0.05
2023-09-21,21,JINDALSAW,2.12638348801862,2.12638348801862,1.275193798449612,0.05
2023-09-21,22,APARINDS,2.0927738512272436,2.0927738512272436,1.2617575862367079,0.05
2023-09-21,23,KIRLOSBROS,2.0818786266151466,2.0818786266151466,1.2574019738596958,0.05
2023-09-21,24,RKFORGE,1.956134254331305,1.956134254331305,1.2071328179901615,0.05
2023-09-28,1,GVT&D,5.041920960513788,5.041920960513788,2.723135271807838,0.05
2023-09-28,2,JWL,4.631102609075538,4.631102609075538,2.539236479321315,0.05
2023-09-28,3,MAZDOCK,4.361716214013816,4.361716214013816,2.4186483103879843,0.05
2023-09-28,4,SUZLON,4.314139345530827,4.314139345530827,2.3973509933774833,0.05
2023-09-28,5,FORCEMOT,4.150687298974659,4.150687298974659,2.32418329313747,0.05
2023-09-28,6,TITAGARH,4.0758070810390725,4.0758070810390725,2.2906639004149376,0.05
2023-09-28,7,BSE,3.5130079207461415,3.5130079207461415,2.038732394366197,0.05
2023-09-28,8,HSCL,3.3256032622233858,3.3256032622233858,1.9548425430778371,0.05
2023-09-28,9,TARIL,3.2370316809653206,3.2370316809653206,1.9151943462897525,0.05
2023-09-28,10,IRFC,3.0226065346945967,3.0226065346945967,1.8192090395480225,0.05
2023-09-28,11,DBREALTY,2.7040557228416584,2.7040557228416584,1.6766129032258061,0.05
2023-09-28,12,HBLENGINE,2.6865869860770255,2.6865869860770255,1.6687931951089845,0.05
2023-09-28,13,IRCON,2.646810785800476,2.646810785800476,1.6509877704609597,0.05
2023-09-28,14,FACT,2.5083456961477046,2.5083456961477046,1.5890052356020945,0.05
2023-09-28,15,RVNL,2.4552801482269127,2.4552801482269127,1.5652509652509652,0.05
2023-09-28,16,ZENTEC,2.453722280431466,2.453722280431466,1.5645536010620646,0.05
2023-09-28,17,JINDALSAW,2.2667966611334975,2.2667966611334975,1.4808781869688388,0.05
2023-09-28,18,IFCI,2.257961193718039,2.257961193718039,1.4769230769230766,0.05
2023-09-28,19,COCHINSHIP,2.1853486045146826,2.1853486045146826,1.4444187658886065,0.05
2023-09-28,20,RECLTD,2.1819570379309927,2.1819570379309927,1.4429005644811115,0.05
2023-09-28,21,KAYNES,2.0359062735902733,2.0359062735902733,1.377522376992744,0.05
2023-09-28,22,SJVN,2.018845821996883,2.018845821996883,1.369885433715221,0.05
2023-09-28,23,RKFORGE,1.9883339762897807,1.9883339762897807,1.3562271062271063,0.05
2023-09-28,24,APARINDS,1.9869297028670945,1.9869297028670945,1.3555984970477724,0.05
2023-10-05,1,SUZLON,5.1484394268869424,5.1484394268869424,2.7341772151898733,0.05
2023-10-05,2,GVT&D,4.533801042897108,4.533801042897108,2.4616352201257863,0.05
2023-10-05,3,FORCEMOT,4.500289641717493,4.500289641717493,2.4467756468013904,0.05
2023-10-05,4,JWL,4.392844120353895,4.392844120353895,2.3991323210412143,0.05
2023-10-05,5,MAZDOCK,4.055329461304992,4.055329461304992,2.24947209653092,0.05
2023-10-05,6,BSE,3.673449261035708,3.673449261035708,2.0801393728222997,0.05
2023-10-05,7,TARIL,3.5363164643882197,3.5363164643882197,2.0193321616871707,0.05
2023-10-05,8,TITAGARH,3.4347053388411073,3.4347053388411073,1.9742759146341466,0.05
2023-10-05,9,HBLENGINE,3.302120979090101,3.302120979090101,1.9154855643044617,0.05
2023-10-05,10,HSCL,3.1297671779240885,3.1297671779240885,1.839060710194731,0.05
2023-10-05,11,IRFC,3.0306555397830115,3.0306555397830115,1.7951127819548867,0.05
2023-10-05,12,FACT,2.597333538601557,2.597333538601557,1.6029698149951312,0.05
2023-10-05,13,KAYNES,2.5630432136696624,2.5630432136696624,1.5877648525135024,0.05
2023-10-05,14,GMDCLTD,2.5530492243511405,2.5530492243511405,1.5833333333333335,0.05
2023-10-05,15,DBREALTY,2.5014766805614896,2.5014766805614896,1.5604651162790697,0.05
2023-10-05,16,IRCON,2.4456584552007783,2.4456584552007783,1.5357142857142856,0.05
2023-10-05,17,RVNL,2.322378235512864,2.322378235512864,1.481049562682216,0.05
2023-10-05,18,SYRMA,2.210287380270436,2.210287380270436,1.4313464102075795,0.05
2023-10-05,19,RECLTD,2.182960355653991,2.182960355653991,1.419229103508012,0.05
2023-10-05,20,JINDALSAW,2.1773103423632647,2.1773103423632647,1.4167237834132966,0.05
2023-10-05,21,IFCI,2.0774615323995373,2.0774615323995373,1.3724489795918364,0.05
2023-10-05,22,SCHNEIDER,1.811814960788744,1.811814960788744,1.254656390494541,0.05
2023-10-05,23,COCHINSHIP,1.8100825065060304,1.8100825065060304,1.2538881883144182,0.05
2023-10-05,24,ZENTEC,1.8068977348548412,1.8068977348548412,1.2524760018284322,0.05
2023-10-12,1,SUZLON,4.479274478391272,4.479274478391272,2.331288343558282,0.05
2023-10-12,2,JWL,4.224048494497809,4.224048494497809,2.223010643689812,0.05
2023-10-12,3,BSE,4.125565023528513,4.125565023528513,2.1812297734627832,0.05
2023-10-12,4,GVT&D,3.9777187778000065,3.9777187778000065,2.118507118122355,0.05
2023-10-12,5,MAZDOCK,3.924347278064731,3.924347278064731,2.095864661654135,0.05
2023-10-12,6,FORCEMOT,3.839333585202339,3.839333585202339,2.0597982432587933,0.05
2023-10-12,7,GMDCLTD,3.801289345189953,3.801289345189953,2.043658261196839,0.05
2023-10-12,8,HBLENGINE,3.6022185576384387,3.6022185576384387,1.9592039800995025,0.05
2023-10-12,9,HSCL,3.3812762041613147,3.3812762041613147,1.8654708520179373,0.05
2023-10-12,10,TARIL,3.245083933348817,3.245083933348817,1.8076923076923075,0.05
2023-10-12,11,KAYNES,3.200017446062995,3.200017446062995,1.78857319015568,0.05
2023-10-12,12,IRFC,3.040771959356625,3.040771959356625,1.721014492753623,0.05
2023-10-12,13,TITAGARH,2.9117133398267177,2.9117133398267177,1.6662623462138275,0.05
2023-10-12,14,KALYANKJIL,2.846592383863877,2.846592383863877,1.6386352715040848,0.05
2023-10-12,15,IFCI,2.519809273260778,2.519809273260778,1.5,0.05
2023-10-12,16,ITI,2.4254979044918445,2.4254979044918445,1.4599891126837234,0.05
2023-10-12,17,ZENTEC,2.2545390868744275,2.2545390868744275,1.3874611229333769,0.05
2023-10-12,18,IRCON,2.212579259773179,2.212579259773179,1.3696599825632085,0.05
2023-10-12,19,ANANDRATHI,2.1786438903904166,2.1786438903904166,1.3552631578947367,0.05
2023-10-12,20,MMTC,2.170166447543335,2.170166447543335,1.3516666666666666,0.05
2023-10-12,21,RECLTD,2.120317666912526,2.120317666912526,1.3305186972255734,0.05
2023-10-12,22,SYRMA,1.9700293721853768,1.9700293721853768,1.266760021004726,0.05
2023-10-12,23,FACT,1.9452650442909931,1.9452650442909931,1.2562539415598066,0.05
2023-10-12,24,DBREALTY,1.9335225211571676,1.9335225211571676,1.2512722646310435,0.05
2023-10-19,1,SUZLON,5.815204162373517,5.815204162373517,2.95,0.05
2023-10-19,2,BSE,4.5124707547078104,4.5124707547078104,2.382838283828383,0.05
2023-10-19,3,ITI,3.804712201718099,3.804712201718099,2.074706510138741,0.05
2023-10-19,4,JWL,3.789108838988745,3.789108838988745,2.0679133858267718,0.05
