label,universe,cadence,regime,bull_uc,bull_cr,bear_uc,bear_cr,passes,IS_cagr,IS_sharpe,IS_dd,OOS_A_cagr,OOS_A_sharpe,OOS_A_dd,OOS_B_cagr,OOS_B_sharpe,OOS_B_dd,OOS_C_cagr,OOS_C_sharpe,OOS_C_dd,OOS_full_cagr,OOS_full_sharpe,OOS_full_dd
Nifty_250__biweekly__NIFTY_100__bull0.7_0.3__bear0.0_1.0,Nifty_250,biweekly,NIFTY_100,0.7,0.3,0.0,1.0,True,22.25,1.2,-26.9,23.81,1.34,-23.8,61.68,1.94,-39.76,42.04,1.56,-33.17,41.57,1.62,-39.76
Nifty_250__biweekly__NIFTY_100__bull0.6_0.4__bear0.4_0.6,Nifty_250,biweekly,NIFTY_100,0.6,0.4,0.4,0.6,True,22.81,1.22,-28.77,22.43,1.25,-23.66,62.85,1.97,-41.07,43.69,1.53,-31.5,41.94,1.6,-41.07
Nifty_250__biweekly__NIFTY_100__bull0.8_0.2__bear0.2_0.8,Nifty_250,biweekly,NIFTY_100,0.8,0.2,0.2,0.8,False,19.28,1.02,-29.41,20.62,1.15,-27.55,55.0,1.74,-41.8,42.74,1.52,-37.05,38.76,1.49,-46.06
Nifty_250__biweekly__NIFTY_100__bull0.5_0.5__bear0.0_1.0,Nifty_250,biweekly,NIFTY_100,0.5,0.5,0.0,1.0,True,27.95,1.53,-25.96,26.51,1.57,-23.04,64.91,2.1,-36.57,45.5,1.8,-26.84,44.78,1.83,-36.57
Nifty_250__biweekly__NIFTY_100__bull0.5_0.5__bear0.3_0.7,Nifty_250,biweekly,NIFTY_100,0.5,0.5,0.3,0.7,True,28.41,1.51,-27.21,24.07,1.37,-23.71,56.19,1.84,-39.69,46.8,1.74,-27.84,41.82,1.66,-39.69
Nifty_250__biweekly__NIFTY_200__bull0.7_0.3__bear0.3_0.7,Nifty_250,biweekly,NIFTY_200,0.7,0.3,0.3,0.7,True,22.01,1.12,-34.33,20.35,1.16,-26.11,63.29,1.92,-41.96,43.54,1.55,-30.47,41.28,1.57,-42.73
Nifty_250__biweekly__NIFTY_200__bull0.7_0.3__bear0.0_1.0,Nifty_250,biweekly,NIFTY_200,0.7,0.3,0.0,1.0,True,21.64,1.14,-34.33,25.5,1.45,-23.67,59.43,1.87,-39.72,40.74,1.52,-33.81,41.09,1.61,-39.72
Nifty_250__biweekly__NIFTY_200__bull0.6_0.4__bear0.4_0.6,Nifty_250,biweekly,NIFTY_200,0.6,0.4,0.4,0.6,True,23.79,1.23,-29.21,17.74,1.04,-26.37,61.83,1.94,-40.54,40.36,1.47,-31.66,38.74,1.52,-42.66
Nifty_250__biweekly__NIFTY_200__bull0.8_0.2__bear0.2_0.8,Nifty_250,biweekly,NIFTY_200,0.8,0.2,0.2,0.8,False,19.04,0.99,-33.72,20.78,1.17,-27.12,47.86,1.59,-40.83,35.49,1.31,-38.49,34.3,1.36,-43.65
Nifty_250__biweekly__NIFTY_200__bull0.5_0.5__bear0.0_1.0,Nifty_250,biweekly,NIFTY_200,0.5,0.5,0.0,1.0,True,28.03,1.5,-28.22,28.77,1.73,-21.47,60.01,2.0,-35.85,46.78,1.84,-26.78,44.66,1.84,-35.85
Nifty_250__biweekly__NIFTY_200__bull0.5_0.5__bear0.3_0.7,Nifty_250,biweekly,NIFTY_200,0.5,0.5,0.3,0.7,True,28.8,1.51,-28.22,24.05,1.39,-21.88,49.36,1.68,-39.84,50.53,1.83,-28.51,41.09,1.64,-39.84
