symbol,pnl_pct,reason,entry_date,exit_date,hold_days
NESTLEIND,0.0486155776378463,rank,2019-09-23,2019-12-02,70
INDIGO,0.006974015912111664,rank,2019-11-04,2019-12-02,28
KEI,-0.16905427030468445,atr_stop,2019-10-07,2019-12-16,70
ADANIPOWER,0.34578077536092167,rank,2019-05-20,2019-12-16,210
MUTHOOTFIN,0.2936596500421733,rank,2019-03-11,2020-01-27,322
GODREJPROP,-0.029370535122659747,rank,2019-07-01,2020-01-27,210
SBILIFE,0.21053447123057212,rank,2019-08-13,2020-02-10,181
GODFRYPHLP,-0.019136884748971572,rank,2019-12-02,2020-02-10,70
SIEMENS,-0.07324503279326722,rank,2019-10-07,2020-02-24,140
ATGL,-0.06422672756904213,atr_stop,2019-10-07,2020-03-02,147
BPCL,-0.1485733632323959,atr_stop,2019-10-07,2020-03-02,147
ADANIGREEN,0.6092081140493253,atr_stop,2019-10-22,2020-03-02,132
ADANIENSOL,-0.08234437953970675,atr_stop,2019-11-04,2020-03-02,119
PRESTIGE,-0.039256996151916135,atr_stop,2019-12-02,2020-03-02,91
NAM-INDIA,0.13786285978108648,atr_stop,2019-10-07,2020-03-09,154
BAJFINANCE,0.04086087172157815,rank,2019-10-07,2020-03-09,154
BAJAJFINSV,-0.08004901274318521,rank,2019-11-18,2020-03-09,112
ADANIENT,-0.19082978781987192,rank,2020-02-24,2020-03-09,14
NAUKRI,0.34829067672817726,atr_stop,2018-09-10,2020-03-16,553
ICICIGI,0.03364792575334241,atr_stop,2019-04-22,2020-03-16,329
TRENT,0.2882671705329378,atr_stop,2019-08-13,2020-03-16,216
HDFCAMC,-0.11488614487347804,atr_stop,2019-09-23,2020-03-16,175
HDFCLIFE,-0.1446074006335869,atr_stop,2019-10-07,2020-03-16,161
BERGEPAINT,0.02389278039151077,atr_stop,2019-10-07,2020-03-16,161
APLAPOLLO,-0.29909282016238314,atr_stop,2020-02-10,2020-03-16,35
SRF,0.1390430313330704,atr_stop,2019-03-25,2020-03-23,364
PIIND,-0.024578161124228726,atr_stop,2019-07-29,2020-03-23,238
JKCEMENT,-0.09863016384677692,atr_stop,2019-08-13,2020-03-23,223
DIXON,-0.014898765807470515,atr_stop,2019-11-18,2020-03-23,126
GUJGASLTD,-0.16141573132711728,atr_stop,2019-12-16,2020-03-23,98
DEEPAKNTR,-0.17963728738803064,atr_stop,2020-01-27,2020-03-23,56
TATACONSUM,-0.3896664882731242,atr_stop,2020-01-27,2020-03-23,56
AUBANK,-0.4818470385635386,atr_stop,2020-02-10,2020-03-23,42
