index,company_name,spell_from,spell_to,isin,symbol,symbol_from,symbol_to,method,candidates
nse500,Dewan Housing Finance Corporation Ltd.,2011-10-10,2020-06-26,INE202B01012,DEWANHOUS,2011-10-10,2012-05-21,norm-exact,
nse500,Dewan Housing Finance Corporation Ltd.,2011-10-10,2020-06-26,INE202B01012,DHFL,2012-05-22,2020-06-26,norm-exact,
nse500,Dewan Rubber Industries Ltd.,1998-08-01,1999-09-08,,,,,unresolved,
nse500,Dharamsi Morarji Chemical Co. Ltd.,1998-08-01,1999-09-08,,,,,unresolved,
nse500,Digital Globalsoft Ltd.,1998-08-01,2004-04-12,INE124A01010,,,,isin-only,
nse500,Dishman Pharmaceuticals & Chemicals Ltd.,2004-12-10,2017-01-23,INE353G01020,DISHMAN,2005-01-03,2017-01-23,norm-exact,
nse500,Dr. Datsons Labs Ltd.,2013-04-01,2014-03-28,INE928K01013,AANJANEYA,2013-04-01,2013-08-30,norm-exact,
nse500,Dr. Datsons Labs Ltd.,2013-04-01,2014-03-28,INE928K01013,DRDATSONS,2013-09-02,2014-03-28,norm-exact,
nse500,Dwarikesh Sugar Industrial Ltd.,2005-09-26,2011-03-25,INE366A01033,DWARKESH,2005-09-26,2011-03-25,manual-symbol,
nse500,Educomp Solutions Ltd.,2007-10-25,2015-03-27,INE216H01027,EDUCOMP,2007-10-25,2015-03-27,norm-exact,
nse500,Eicher Ltd.,1999-02-03,2004-08-30,,,,,unresolved,
nse500,Eicher Ltd.,2005-04-20,2007-03-06,INE066A01013,EICHERMOT,2005-04-20,2007-03-06,manual-symbol,
nse500,Elder Pharmaceuticals Ltd.,2002-09-19,2015-03-27,INE975A01015,ELDERPHARM,2005-01-03,2015-03-27,norm-exact,
nse500,Electrex (India) Ltd.,1998-08-01,2000-05-24,,,,,unresolved,
nse500,Era Infra Engineering Ltd.,2006-11-08,2014-09-19,INE039E01020,ERACONS,2006-11-08,2008-02-22,norm-exact,
