isin,symbol,ex_date,type,factor_or_amount,detail,face_val,series,subject,source
INE613A01012,RALLIS,2007-05-09,dividend,0.8,final,1,EQ,Agm/Dividend-80%,nse-filing
INE460C01014,GANESHHOU,2007-05-10,dividend,2.7,interim,10,EQ,Interim Dividend - 27%   Purpose Revised,nse-filing
INE332A01027,THOMASCOOK,2007-05-14,split,0.1,10->1,1,EQ,Fv Split Rs.10/- To Re.1/,nse-filing
INE374A01029,GUJRATGAS,2007-05-15,split,0.2,10->2,2,EQ,Fv Split Rs.10/- To Rs.2/,nse-filing
INE253B01015,21STCENMGM,2007-05-17,dividend,1.2,interim,10,EQ,Interim Dividend - 12%,nse-filing
INE238A01026,AXISBANK,2007-05-17,dividend,0.9,final,2,EQ,Agm/Dividend-45%,nse-filing
INE217A01012,ZUARIIND,2007-05-22,dividend,2.5,final,10,EQ,Dividend-25%             Purpose Revised,nse-filing
INE275B01026,HUHTAMAKI,2007-05-25,split,0.2,10->2,2,EQ,Fv Split Rs.10/- To Rs.2/,nse-filing
INE392A01013,VISAKAIND,2007-05-25,dividend,0.6,final,2,EQ,Agm/Dividend - 30%       Rd Changed To Bc/Purpose Revised,nse-filing
INE166A01011,INGVYSYABK,2007-05-28,dividend,0.65,final,10,EQ,Agm/Dividend - 6.5%,nse-filing
INE477A01012,CANFINHOME,2007-05-30,dividend,0.5,final,2,EQ,Dividend - 25%,nse-filing
INE580B01011,GRUH,2007-05-30,dividend,0.6,final,2,EQ,Agm/Dividend-30%,nse-filing
